ir femtosecond laser	1
irradiation	1
irradiation effect	1
irradiation temperature	1
laminated composite	1
lanthanum aluminate	1
laser	1
laser cladding	2
laser deposition	1
laser processing	1
laser track	1
lasers and laser optics	2
lattice distortion spin chains	1
lattice dynamics	1
lattice models in condensed matter	1
layer	1
layered crystal structures	1
leakage mechanism	1
liquid metal embrittlement	1
localized corrosion	1
low cycle fatigue	1
luminescence	1
magnesium	1
magnesium alloy	1
magnetic phase transitions	1
magnetic properties	2
magnetic systems	1
magnetism	1
magnetization measurements	1
magnetron sputtering	1
martensitic transformation	1
materials science	1
mechanical alloying	1
mechanical properties	6
mechanical resistance	1
mechanism	1
medium carbon steel	1
metal matrix composite	1
metal matrix composites	5
metallic alloy nanoparticles	1
metals	1
metal–ceramic composites	1
methods in magnetism	1
mg-dy alloy	1
mg-rare earth alloy	1
mg–re alloys	1
microhardness	3
microscopy	1
microstress	1
microstructure	16
microstructure:corrosion	1
microstructures	1
mocvd	3
modified williamson-hall:ni-al bronze	1
modify chemical vapor deposition	1
molecular statics simulations	1
monte carlo simulations	1
morphology	1
multiferroic	1
nano tib2 particle	1
nanocomposites	2
nanocrystalline materials	1
nanograin	1
nanomaterials	1
nanoparticles	5
nanostructure	1
nanostructured material	1
nanowires	1
neutron diffraction	4
ni based composite coating	2
ni-based powder	1
ni-based single-crystal superalloy	1
ni-ti-ceo2 composite coating	2
ni-w alloy	2
nickel aluminum bronze	1
nickel-aluminum bronze	1
nitrogen heterocycles	1
ni–tio2	1
ni–w alloy	1
nonlinear optics	1
nucleation and growth	1
ods alloy	1
ods alloys	1
one-dimension	2
optical absorption band	1
optical materials/properties	2
optical rotation:silica	1
ordered mesoporous silica	1
oriented attachment	1
oxidation kinetics	1
oxide materials	1
oxides	2
paramagnetic defect	1
passivation	1
pearlitic steel	1
perovskite	2
phase diagram	1
phase relaxation	1
phase separation	1
phase stability	1
phase structure	1
phonons	1
photocatalysis	1
photomagnetism	1
plastic anisotropy	1
plastic deformation	1
point defects	1
point-by-point gratings	1
polyol method	1
powder metallurgy	1
power attenuation	1
precipitation	2
pressure	1
processing	1
prussian blue analogues	1
pseudo-gap	1
pseudogap	1
quasicrystals	1
radiation	1
radiation resistance	1
raman spectra	1
raman spectroscopy	2
rapid solidification	1
rare earth element	1
recrystallization	4
repetition rate	1
representative volume element	1
residual stress	15
rietveld refinement	2
roll bonding	1
rolling	2
scandia doped yittria stabilized zirconia	1
scanning electron microscopy	1
scanning speed	1
scanning tunneling microscopy	1
second phase	1
second phase particle	1
selective laser melting	1
self-lubrication	1
severe plastic deformation	6
shape stability	1
shot peening	12
silica	2
silica glass	3
silicate ‐ glass forming systems	1
single crystal growth	1
single crystal materials	1
slabs	1
slip	1
small angle neutron scattering	1
smat	2
solar cells	1
solar water splitting	1
solid solution cooling speed	1
solidification microstructures	1
sol–gel chemistry	1
sonochemistry	1
spark plasma sintering	1
spin chains	1
spin pseudogap	2
spin-charge separation	2
spinon	4
spring mattress	1
sr2cuo3	2
srcuo2	3
stainless steel	1
stem haadf	1
stored energy	2
strain field	1
strain hardening effect	1
stress peening	2
stress shot peening	1
stress shot peeningn	1
stripes	1
structural properties	1
structure transformation	1
sub-grain boundaries	1
submonolayer growth	1
sulfate and vanadate molten salts	1
sulfur heterocycles	1
superaustenitic steels	1
superconductivity	1
surface mechanical property	1
surface modification	1
surface reaction	1
surface segregation	1
surface strain/stress state	1
synthesis	1
tantalum	1
tem	2
texture	16
texture gradient	1
thermal analysis	1
thermal barrier coating	3
thermal barrier coatings	3
thermal barrier coatings (tbcs)	1
thermal conductivity	1
thermal stability	3
thermally activated relaxation	1
thermo-physical properties	1
thermoelectric materials	1
thermogravimetry	1
thin film	1
thin films	2
thin-walled component	1
ti microparticles	2
tib	1
tib2	1
tight-binding formalism	1
time-of-flight neutron spectroscopy	1
tio2	1
titanium	1
transmission electron microscopy hrtem	1
transparent conducting oxides	1
tribological behaviors	1
tungsten cemented carbide	1
twinning	1
ultrasound	1
v2o5	2
v2o5 + na2so4	1
v2o5 + na2so4	1
variable-charge model	1
voids-fiber bragg grating radiation response	1
voids-fiber bragg gratings	1
vpsc simulation	1
wear	2
wear resistance	1
welding	1
wire 	1
wire drawing	1
wire rod	1
work hardening	1
x-ray absorption spectroscopy	1
x-ray diffraction	16
x-ray diffraction line profile analysis	2
xps	2
x‐ray	1
yb2o3-stabilized zirconia	1
zirconia	1
zirconium alloys	1
zno	1
zro2	3
{001}〈100〉 cube texture	1
